dataset,term,true_coefficient,is_true_signal,note
A_wide_housing,noise_size_08,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_size_09,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_size_10,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_11,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_12,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_13,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_14,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_15,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_16,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_17,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_18,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_19,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_20,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_21,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_22,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_23,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_24,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_25,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_26,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_27,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_28,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_29,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_30,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_01,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_02,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_03,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_04,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_05,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_06,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_07,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_08,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_09,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_10,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
